Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
Logistic Regression,0.7497353038056678,0.014597367805204667,0.5184583135960581,0.018082908362001212,0.8020066889632107,0.03792117132590868,0.62958545487315,0.02255364986541753,0.8459123412873616,0.012429428773555028
Random Forest,0.7664210143088821,0.010400242553684002,0.5426988042336433,0.015062001382819296,0.7652173913043478,0.02181873769939814,0.6348686347037205,0.014608510500927112,0.8462922173425211,0.01059392570527586
